SampleNumber,SampleName,library_ID,Accession,BioProject,filename,filename2
114316,MH15663,MH15663_B,SAMN12610182,PRJNA561158,114316.1.1.fastq.gz,114316.2.1.fastq.gz
114317,MH15919,MH15919_B,SAMN12610183,PRJNA561158,114317.1.1.fastq.gz,114317.2.1.fastq.gz
114318,MH13079,MH13079_B,SAMN12610177,PRJNA561158,114318.1.1.fastq.gz,114318.2.1.fastq.gz
114319,MH13516,MH13516_B,SAMN12610178,PRJNA561158,114319.1.1.fastq.gz,114319.2.1.fastq.gz
114320,MH10735,MH10735_B,SAMN12610173,PRJNA561158,114320.1.1.fastq.gz,114320.2.1.fastq.gz
114321,MH12549,MH12549_B,SAMN12610175,PRJNA561158,114321.1.1.fastq.gz,114321.2.1.fastq.gz
114322,MH10420,MH10420_B,SAMN12610162,PRJNA561158,114322.1.1.fastq.gz,114322.2.1.fastq.gz
114323,MH10265,MH10265_B,SAMN12610157,PRJNA561158,114323.1.1.fastq.gz,114323.2.1.fastq.gz
114324,MH10076,MH10076_B,SAMN12610155,PRJNA561158,114324.1.1.fastq.gz,114324.2.1.fastq.gz
114325,MH10499,MH10499_B,SAMN12610166,PRJNA561158,114325.1.1.fastq.gz,114325.2.1.fastq.gz
114326,MH9995,MH9995_B,SAMN12610216,PRJNA561158,114326.1.1.fastq.gz,114326.2.1.fastq.gz
114327,MH10529,MH10529_B,SAMN12610167,PRJNA561158,114327.1.1.fastq.gz,114327.2.1.fastq.gz
114328,MH10454,MH10454_B,SAMN12610165,PRJNA561158,114328.1.1.fastq.gz,114328.2.1.fastq.gz
114329,MH10536,MH10536_B,SAMN12610168,PRJNA561158,114329.1.1.fastq.gz,114329.2.1.fastq.gz
114330,MH10445,MH10445_B,SAMN12610163,PRJNA561158,114330.1.1.fastq.gz,114330.2.1.fastq.gz
114331,MH10549,MH10549_B,SAMN12610170,PRJNA561158,114331.1.1.fastq.gz,114331.2.1.fastq.gz
114332,MH10453,MH10453_B,SAMN12610164,PRJNA561158,114332.1.1.fastq.gz,114332.2.1.fastq.gz
114333,MH10582,MH10582_B,SAMN12610171,PRJNA561158,114333.1.1.fastq.gz,114333.2.1.fastq.gz
114334,MH10545,MH10545_B,SAMN12610169,PRJNA561158,114334.1.1.fastq.gz,114334.2.1.fastq.gz
114335,MH10404,MH10404_B,SAMN12610161,PRJNA561158,114335.1.1.fastq.gz,114335.2.1.fastq.gz
114336,MH10403,MH10403_B,SAMN12610160,PRJNA561158,114336.1.1.fastq.gz,114336.2.1.fastq.gz
114337,MH6592,MH6592_B,SAMN12610215,PRJNA561158,114337.1.1.fastq.gz,114337.2.1.fastq.gz
114338,MH2247,MH2247_B,SAMN12610195,PRJNA561158,114338.1.1.fastq.gz,114338.2.1.fastq.gz
114339,MH2216,MH2216_B,SAMN12610193,PRJNA561158,114339.1.1.fastq.gz,114339.2.1.fastq.gz
114340,MH2246,MH2246_B,SAMN12610194,PRJNA561158,114340.1.1.fastq.gz,114340.2.1.fastq.gz
114341,MH4201,MH4201_B,SAMN12610208,PRJNA561158,114341.1.1.fastq.gz,114341.2.1.fastq.gz
114342,MH3814,MH3814_B,SAMN12610204,PRJNA561158,114342.1.1.fastq.gz,114342.2.1.fastq.gz
114343,MH4247,MH4247_B,SAMN12610209,PRJNA561158,114343.1.1.fastq.gz,114343.2.1.fastq.gz
114344,MH4166,MH4166_B,SAMN12610207,PRJNA561158,114344.1.1.fastq.gz,114344.2.1.fastq.gz
114345,MH3066,MH3066_B,SAMN12610201,PRJNA561158,114345.1.1.fastq.gz,114345.2.1.fastq.gz
114346,MH3821,MH3821_B,SAMN12610205,PRJNA561158,114346.1.1.fastq.gz,114346.2.1.fastq.gz
114347,MH2672,MH2672_B,SAMN12610199,PRJNA561158,114347.1.1.fastq.gz,114347.2.1.fastq.gz
114348,MH4524,MH4524_B,SAMN12610214,PRJNA561158,114348.1.1.fastq.gz,114348.2.1.fastq.gz
114349,MH4523,MH4523_B,SAMN12610213,PRJNA561158,114349.1.1.fastq.gz,114349.2.1.fastq.gz
114350,MH3226,MH3226_B,SAMN12610202,PRJNA561158,114350.1.1.fastq.gz,114350.2.1.fastq.gz
114351,MH4301,MH4301_B,SAMN12610211,PRJNA561158,114351.1.1.fastq.gz,114351.2.1.fastq.gz
114352,MH2666,MH2666_B,SAMN12610197,PRJNA561158,114352.1.1.fastq.gz,114352.2.1.fastq.gz
114353,MH1033,MH1033_B,SAMN12610158,PRJNA561158,114353.1.1.fastq.gz,114353.2.1.fastq.gz
114354,M53896,M53896_B,SAMN12610141,PRJNA561158,114354.1.1.fastq.gz,114354.2.1.fastq.gz
114355,M53957,M53957_B,SAMN12610143,PRJNA561158,114355.1.1.fastq.gz,114355.2.1.fastq.gz
114356,M54368,M54368_B,SAMN12610151,PRJNA561158,114356.1.1.fastq.gz,114356.2.1.fastq.gz
114357,M54146,M54146_B,SAMN12610148,PRJNA561158,114357.1.1.fastq.gz,114357.2.1.fastq.gz
114358,M54308,M54308_B,SAMN12610149,PRJNA561158,114358.1.1.fastq.gz,114358.2.1.fastq.gz
114359,M54498,M54498_B,SAMN12610152,PRJNA561158,114359.1.1.fastq.gz,114359.2.1.fastq.gz
114360,M54041,M54041_B,SAMN12610145,PRJNA561158,114360.1.1.fastq.gz,114360.2.1.fastq.gz
114361,M54067,M54067_B,SAMN12610147,PRJNA561158,114361.1.1.fastq.gz,114361.2.1.fastq.gz
114362,M53952,M53952_B,SAMN12610142,PRJNA561158,114362.1.1.fastq.gz,114362.2.1.fastq.gz
114363,M53993,M53993_B,SAMN12610144,PRJNA561158,114363.1.1.fastq.gz,114363.2.1.fastq.gz
114364,M54309,M54309_B,SAMN12610150,PRJNA561158,114364.1.1.fastq.gz,114364.2.1.fastq.gz
114365,M54878,M54878_B,SAMN12610153,PRJNA561158,114365.1.1.fastq.gz,114365.2.1.fastq.gz
114366,M54058,M54058_B,SAMN12610146,PRJNA561158,114366.1.1.fastq.gz,114366.2.1.fastq.gz
